token_ticker,sentiment_score,mCap
CTO,-0.3993174061433447,4237
CTO,-0.3993174061433447,5322
CULT,1.0,4474
CULTS,-0.22388059701492538,5482
CULTURE,0.25925925925925924,69017
CUNT,-0.242,4694
CURSOR,-1.0,4589
CUTIS,-0.2168284789644013,4527
CUW,-0.4731182795698925,4306
CWAT,-0.5023041474654378,5474
CWAZY,-0.9393939393939394,4921
CWI,-0.8461538461538461,5021
CWIFIHAT,-0.3333333333333333,5316
CYBER,-0.4392523364485981,4708
CYBERCAB,-0.15789473684210525,6679
CYBTRUMP,0.5,4158
CYPHER,-1.0,34908
Candy,0.14285714285714285,4012
Capys,-0.2631578947368421,8287
Cash,-0.4457831325301205,16039
CassyAI,-0.5,4078
Castro,-1.0,5271
Cat,-0.5,8001
Catman,-0.3333333333333333,4699
Catsfish,-0.37254901960784315,4395
CbBTC,-0.7142857142857143,4876
Chaco,-0.4,5117
ChadX,0.14285714285714285,5729
Charmy,-0.3333333333333333,4710
Checkmate,0.2,4303
Cheems,0.0,5389
Chicken,-0.37254901960784315,4088
Chill cat,-0.14285714285714285,8787
China,0.0,4098
ChinaWIF,-0.5384615384615384,4577
Choccy,-0.35,16901
Chonburi,-1.0,4275
Chorizo,-0.3333333333333333,5073
Chris,-0.75,40908
Christie,-1.0,4876
Chucky,-0.2,22671
ClippyGPT,-0.1111111111111111,4155
Clit,-1.0,6032
CloudCoin,-1.0,4654
Cockpit,0.0,5069
Cookie,0.42857142857142855,4214
Corru,-0.25,5977
Cowsay,-0.36,5122
Crabs,-0.43820224719101125,9622
Cute,0.23076923076923078,5346
Cuttlefish,-0.28,13921
Cyber,-0.34375,7643
DACHI,-0.6097560975609756,4461
DAD,-0.6129032258064516,4746
DADDY,-0.3626373626373626,4322
DADDY,-0.3626373626373626,4529
DADDY,-0.3626373626373626,4851
DADDY,-0.3626373626373626,11042
DADDY,-0.3626373626373626,29491
DADDYD,-0.1111111111111111,4833
DADDYTRUMP,-0.45454545454545453,4790
DAISY,-1.0,5737
DAMN,-0.7333333333333333,5139
DAN,0.3333333333333333,35918
DANGER,-0.5,4176
DANTE,0.6,7623
DAO,0.1111111111111111,6506
DAO,0.1111111111111111,4372
DARKEN,-0.5238095238095238,5520
DARKMUSK,-0.38095238095238093,4322
DATA,-0.39849624060150374,4598
DATAISM,-0.36,5151
DAVE,0.059907834101382486,4080
DAVIDO,0.14285714285714285,4816
DAWGS,-0.2,4568
DAZZI,-0.043478260869565216,4877
DBARRON,-1.0,4336
DBILL,-0.4492753623188406,4851
DC,-1.0,4727
DCA,-0.6448598130841121,4833
DCAT,-0.6,5623
DCLOUD,-1.0,5149
DDOG,-0.8,74787
DEAR,-0.3333333333333333,4400
DEBATE,-0.4491017964071856,5009
DEBT,-0.7966101694915254,4515
DEEPFRIED,-0.2920353982300885,6689
DEEXNUTS,-1.0,4228
DEEZ,-0.16666666666666666,8316
DEK,-0.4268292682926829,4861
